date,review_roaster,coffee,rating,link,Roaster Location:,Coffee Origin:,Roast Level:,Agtron:,Est. Price:,Review Date:,Aroma:,Body:,Flavor:,Aftertaste:,With Milk:,Acidity/Structure:,Acidity:
2024-01-04,Utopian Coffee,Cold Brew,93,https://www.coffeereview.com/review/cold-brew-8/,"Fort Wayne, Indiana",Not disclosed,Light,64/85,$18.00/12 ounces,January 2024,8,9,9,8,9,,
2024-01-04,JBC Coffee Roasters,Nkanda #7 Burundi,92,https://www.coffeereview.com/review/nkanda-7-burundi/,"Madison, Wisconsin","Tangara, Ngozi,  Burundi",Medium-Light,58/78,$21.00/12 ounces,January 2024,8,9,9,8,,8,
2024-01-04,Utopian Coffee,Pearl,91,https://www.coffeereview.com/review/pearl/,"Fort Wayne, Indiana",Not disclosed,Light,64/86,$18.00/12 ounces,January 2024,8,8,9,7,,9,
2024-01-04,Kafe Coffee Roastery,Peach-C Blend,94,https://www.coffeereview.com/review/peach-c-blend/,"Zhubei, Taiwan",Ethiopia; Colombia,Light,62/84,NT$ 366/8 ounces,January 2024,9,9,9,8,,9,
2024-01-04,Cafe Fugu Roasters,Kanazawa Light Roasted Espresso House Blend,92,https://www.coffeereview.com/review/kanazawa-light-roasted-espresso-house-blend/,"Taipei City, Taiwan",Not disclosed,Light,65/86,NT$ 450/200 grams,January 2024,8,9,9,8,8,,
2024-01-04,Cafe Fugu Roasters,Ethiopia Bench Maji Lucy Station Geisha Washed,91,https://www.coffeereview.com/review/ethiopia-bench-maji-lucy-station-geisha-washed-2/,"Taipei City, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,71/92,NT$ 650/200 grams,January 2024,8,8,9,8,,8,
2024-01-04,Cafe Fugu Roasters,Colombia Huila Finca Rodrigo Sanchez Purple Caturra Natural,90,https://www.coffeereview.com/review/colombia-huila-finca-rodrigo-sanchez-purple-caturra-natural/,"Taipei City, Taiwan","San Adolfo, Huila Department, Colombia",Light,65/86,NT $700/200 grams,January 2024,8,8,8,8,,8,
2024-01-04,Coffee Cycle Roasting,Kenya Gicherori AA,93,https://www.coffeereview.com/review/kenya-gicherori-aa/,"San Diego, California","Embu County, Kenya",Medium-Light,59/74,$18.50/250 grams,December 2023,9,8,9,9,,8,
2024-01-04,Coffee Cycle Roasting,Ethiopia Wolde Hirbe Jemjemo Natural,92,https://www.coffeereview.com/review/ethiopia-wolde-hirbe-jemjemo-natural/,"San Diego, California","Wenago district, Gedeo Zone, SNNPR, Ethiopia",Medium-Light,56/75,$18.00/250 grams,December 2023,8,9,9,8,,8,
2024-01-04,Nostalgia Coffee Roasters,Colombia Jaime Lopez,94,https://www.coffeereview.com/review/colombia-jaime-lopez/,"San Diego, California","Santa Barbara, Antioquia, Colombia",Light,62/82,$40.00/12 ounces,December 2023,9,9,9,9,,8,
2024-01-04,JBC Coffee Roasters,Cordillera de Fuego Costa Rica,94,https://www.coffeereview.com/review/cordillera-de-fuego-costa-rica/,"Madison, Wisconsin","Tarrazu, Costa Rica",Medium-Light,59/77,$18.00/8 ounces,December 2023,9,9,9,8,,9,
2024-01-04,Kakalove Cafe,Mellowcup Blend Espresso,93,https://www.coffeereview.com/review/mellowcup-blend-espresso/,"Chia-Yi, Taiwan",Ethiopia; Guatemala,Medium-Light,56/74,NT$ 290/8 ounces,December 2023,9,8,9,8,9,,
